Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Logistic Regression,0.8781190019193857,0.8006535947712419,0.7877813504823151,0.7941653160453809,0.9406662238663506,0.8800354052028736
Random Forest,0.8953934740882917,0.8344370860927153,0.8102893890675241,0.8221859706362153,0.938350319564003,0.8839333243477266
SVM (RBF),0.8896353166986565,0.8223684210526315,0.8038585209003215,0.8130081300813008,0.9427489982009405,0.8957081344224401
